name_jp,name_en,name_en_literal,name_en_gtranslate,reference,tag,parent_jp0,parent_en0,parent_jp1,parent_en1,author_jp,author_en,video0,video1,video2,video3,video4,video5
センターヤキソバスネイク,Center Yakisoba Snake,senta yakisoba suneiku,Center Yakisoba Snake,,0C,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=9m23s,,,,,
センターラピットクロウ,Center Rapid Crow,senta ra pitto kurou,center rapid claw,,0C,,CROW,,,,,https://youtu.be/rLZW_jPb_ZI?t=551,,,,,
センター伊達スネイク,Center Itachi Snake,senta date suneiku,Center Date Snake,,0C,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=563,,,,,
センター流星スネイク,Center Ryuusei Snake,senta ryuusei suneiku,center meteor snake,,0C,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=9m11s,,,,,
エロマサ,Eromasa,ero masa,Eromassa,,0M,,MURAMASA,,,,,https://youtu.be/9Ul6dXIm7Jw?t=170,,,,,
おやすみスネーク,Oyasumi Snake,oyasumi suneku,good night snake,,0M,,SNAKE,,,,,https://twitter.com/tanacchi_ryu/status/797453158746243072,,,,,
ぴーの紋章,Pi no Monshou,pi no monshou,Pea's emblem,,0M,,ROTO NO MONSHOU,,,,,https://youtu.be/WEgjiz45Fzs?t=59,,,,,
緋劔いっぱい,Hiken Ippai,aka/hi ken ippai,Full of scarlet swords,,0M,,HIKEN,,,みつき,MITSUKI,https://youtu.be/1oWG32g8IsI?t=96,,,,,
芝刈り機a,Shibakariki a,shibakariki a,lawn mower a,,0M,,,,,,,https://youtu.be/B5-1v9B5pJY?t=18m5s,,,,,
旧アマテラス,Amaterasu (Old),kyuu amaterasu,Old Amaterasu,,0O,,AMATERASU,,,,,https://youtu.be/6uorIxhPqZk?t=6s,,,,,
旧イザナギ,Izanagi (Old),kyuu izanagi,Old Izanagi,,0O,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=315,,,,,
旧インフィニティ,Infinity(Old),kyuu infiniti,old infiniti,,0O,,,,,航平,KOUHEI,https://youtu.be/wHnqnSf4orA?t=164,,,,,
旧ツクヨミ,Tsukuyomi (Old),kyuu tsukuyomi,Old Tsukuyomi,,0O,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=315,,,,,
旧ドラグーンスピア,Dragoon Spear (Old),kyuu doragun supia,old dragoon spear,,0O,,DRAGOON SPEAR,,,,,https://youtu.be/rLZW_jPb_ZI?t=7m22s,,,,,
旧メテオロロジスト,Meteorologist (Old),kyuu meteo ro roji suto,former meteorologist,,0O,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=1165,,,,,
旧レッドブール,Red Bull (Old),kyuu reddo buru,old red boule,,0O,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=442,,,,,
旧天翔,Amakakeru (Old),kyuu amaka,Old Tensho,,0O,,ROMANCE,,,,,https://youtu.be/djN7xYFryFU?t=179,https://youtu.be/gmq3H-F9hmk?si=bhWk9Qrl85NbR1Vo&t=450,,,,
旧流星スネイク,Ryuusei Snake (Old),kyuu ryuusei suneiku,old meteor snake,,0O,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=3m39s,,,,,
旧神威,Kamui (Old),kyuu shin'i,Old Kamui,,0O,,,,,,,https://youtu.be/JOllsSJP5LQ?t=2,,,,,
OAD - TIKU式,OAD - TIKU Style,OAD - TIKU shiki,OAD - TIKU style,,0T,,OAD,,,,,https://youtu.be/dJKzwdCVg1Y?t=30,,,,,
ロマンティック,Romantic,romantikku,romantic,,0T,,ROMANCE,,,,,https://youtu.be/qiJ9NE6nGLQ?t=217,,,,,
//:command,//:command,//:command,//:command,,0Z,,,,,,,https://youtu.be/OQbcpgoOSb0?t=211,,,,,
495年の波紋,495 Nen no Hamon,yonhyaku kyuujuu gonen no hamon,495 years of ripples,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=115,,,,,
CDN,CDN,CDN,CDN,,0Z,,,,,航平,KOUHEI,https://youtu.be/wHnqnSf4orA?t=131,,,,,
CDN改,CDN Kai,CDN kai,CDN Kai,,0Z,,CDN,,,航平,KOUHEI,https://youtu.be/wHnqnSf4orA?t=176,,,,,
DeG,DeG,DeG,DeG,,0Z,,,,,,,https://youtu.be/gj6I50jU6V0?t=70,https://youtu.be/zm2mpwCKzHc?t=540,,,,
DRY,DRY,DRY,DRY,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=76,,,,,
FGD,FGD,FGD,FGD,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=183,,,,,
FTR,FTR,FTR,FTR,,0Z,,OAD,,,,,https://youtu.be/rLZW_jPb_ZI?t=13m38s,,,,,
G=D,G=D,G=D,G=D,The Legend of Zelda,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=324,,,,,
GOLD,GOLD,GOLD,GOLD,,0Z,,,,,,,https://youtu.be/n27FW188GUQ?t=139,https://youtu.be/zm2mpwCKzHc?t=34,,,,
MgG,MgG,MgG,MgG,,0Z,,MmG,,,ペリカン,PERIKAN,https://youtu.be/zm2mpwCKzHc?t=65,https://youtu.be/AnLbfUdu5gU?t=55,,,,
MmG,MmG,MmG,MmG,Toaru,0Z,,MmG,,,ペリカン,PERIKAN,https://youtu.be/zm2mpwCKzHc?t=55,https://youtu.be/ksbehyO8PtE,https://youtu.be/gmq3H-F9hmk?si=SyWdtERrnnpZBGBt&t=377,,,
OAD - 関東,OAD - Kanto Style,OAD -  kantou,OAD - Kanto,,0Z,,OAD,,,,,https://youtu.be/E2npD0SyEvk?t=28s,,,,,
RUUNA,RUUNA,RUUNA,RUUNA,,0Z,,SUPER PLUME,,,,,https://youtu.be/A1WtRT3E74c?t=79,,,,,
RUUNA_Zwei,RUUNA_Zwei,RUUNA_Zwei,RUUNA_Zwei,,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=297,,,,,
RUUNA【BLIZZARD II】,RUUNA【BLIZZARD II】,RUUNA【BLIZZARD II】,RUUNA [BLIZZARD II],,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=2m39s,https://youtu.be/n27FW188GUQ?t=105,,,,
RUUNA【BLIZZARD】,RUUNA【BLIZZARD】,RUUNA【BLIZZARD】,RUUNA【BLIZZARD】,,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=2m26s,,,,,
RUUNA【Full Burst】,RUUNA【Full Burst】,RUUNA【Full Burst】,RUUNA [Full Burst],,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=188,,,,,
RUUNA【ROMANCE】,RUUNA【ROMANCE】,RUUNA【ROMANCE】,RUUNA【ROMANCE】,,0Z,,RUUNA,,,,,https://youtu.be/rLZW_jPb_ZI?t=22m47s,,,,,
RUUNA【TEMPEST】,RUUNA【TEMPEST】,RUUNA【TEMPEST】,RUUNA【TEMPEST】,,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=274,,,,,
RUUNA【ULTIMATE】,RUUNA【ULTIMATE】,RUUNA【ULTIMATE】,RUUNA【ULTIMATE】,,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=286,,,,,
RUUNA【VIOLET】,RUUNA【VIOLET】,RUUNA【VIOLET】,RUUNA【VIOLET】,,0Z,,RUUNA,,,,,https://youtu.be/A1WtRT3E74c?t=1m31s,,,,,
S☆O,S☆O,S☆O,S☆O,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=256,,,,,
SAMURAI,SAMURAI,SAMURAI,SAMURAI,,0Z,,SAMURAI,,,,,https://youtu.be/6MRPTLTiIFI?t=112,https://youtu.be/9HsYoiYeep0?t=186,,,,
SK Ⅱ,SK Ⅱ,SK Ⅱ,SKⅡ,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=789,,,,,
TGスネイク,TG Snake,TG suneiku,TG Snake,,0Z,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=45,,,,,
TKG,TKG,TKG,TKG,,0Z,,OAD,,,,,https://youtu.be/rLZW_jPb_ZI?t=13m38s,,,,,
α(アルファ),α(Alpha),α( arufa),α (alpha),,0Z,,,,,,,https://youtu.be/gj6I50jU6V0?t=58,,,,,
アーリークロス,Early Cross,ari kurosu,early cross,,0Z,,CROSS,,,,,https://youtu.be/rLZW_jPb_ZI?t=8m10s,https://youtu.be/9HsYoiYeep0?t=156,https://youtu.be/gmq3H-F9hmk?si=452thjp06P13xpOz&t=409,,,
アヴァロン,Avalon,ava ron,Avalon,Fate,0Z,,,,,,,https://youtu.be/n27FW188GUQ?t=70,https://youtu.be/zm2mpwCKzHc?t=264,,,,
アサナギ,Asanagi,asanagi,Asanagi,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=224,,,,,
アステール,Asuteru,a sute ru,aster,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=621,,,,,
アツテール,Atsuteru,atsu teru,Atsutail,,0Z,,,,,,,https://youtu.be/OSVAmAc13VU?t=190,,,,,
あぽりあスペシャル,Apollia Special,aporia supesharu,Aporia Special,,0Z,,,,,,,https://youtu.be/n27FW188GUQ?t=47,,,,,
アマテラス４重,Amaterasu Shijuu,amaterasu shijuu,Amaterasu Quadruple,,0Z,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=256,,,,,
アマテラス害,Amaterasu Gai,amaterasu gai,Amaterasu Harm,,0Z,,AMATERASU,,,,,https://youtu.be/5s-uA1c7DUg?t=90,,,,,
アマテらんたろス,Amaterantarosu,ama teran tarosu,Amate Rantaros,,0Z,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=288,,,,,
アマテリア,Amateria,ama teria,Amateria,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=474,,,,,
アヤマサ,Ayamasa,a yama sa,Ayamasa,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=167,,,,,
アリス・レイ,Alice Rei,ari su rei,Alice Ray,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=11,,,,,
アルマビアンカ,Arma Bianca,aru ma bian ka,alma bianca,,0Z,,,,,,,https://youtu.be/TK5UCrdXTSY?list=PLNkmRI1NJODQ7h6IC8esPvVPZnD1BPobP&t=120,,,,,
アルマフローラ,Arma Flora,aru mafu rora,almaflora,,0Z,,,,,,,https://youtu.be/TK5UCrdXTSY?list=PLNkmRI1NJODQ7h6IC8esPvVPZnD1BPobP&t=120,,,,,
アロンアルファ,Alon Alpha,a ron arufa,aron alpha,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=12m38s,,,,,
アロンアルファ改,Alon Alpha Kai,a ron arufa kai,Aron Alpha Kai,,0Z,,ALON ALPHA,,,,,https://youtu.be/rLZW_jPb_ZI?t=12m38s,,,,,
アンドロブル,Androbull,ando robu ru,androble,,0Z,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=579,,,,,
アンドロメダ,Andromeda,andoromeda,andromeda,,0Z,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=9m39s,,,,,
アンフィールド,Anfield,an firudo,anfield,,0Z,,,,,,,https://youtu.be/n27FW188GUQ?t=36,https://youtu.be/zm2mpwCKzHc?t=117,,,,
アンルシア,Anlucia,an rushi a,Anlucia,,0Z,,,,,,,https://youtu.be/gqZC6AIzIj8?t=286,,,,,
イェーガー,Yaeger,ie ga,jaeger,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=15m17s,,,,,
イギータ,Igiter,igita,Higuita,,0Z,,,,,,,https://youtu.be/djN7xYFryFU?t=344,,,,,
イグニス,Ignis,igu nisu,Ignis,,0Z,,,,,,,https://youtu.be/djN7xYFryFU?t=255,,,,,
イクマル,Ikumaru,i kumaru,Ikmal,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=556,,,,,
イラストリアス,Illustrious,irasuto ria su,Illustrious,,0Z,,,,,影夜,,https://youtu.be/0IK6mJ7sy20?t=278,,,,,
うーぱーきゃのん,Uber Cannon,upakya non,Upper Canon,,0Z,,,,,,,https://youtu.be/djN7xYFryFU?t=284,https://youtu.be/gmq3H-F9hmk?si=px8HM9InusTmOo_w&t=257,,,,
ヴァルハラ,Valhalla,varuhara,valhalla,,0Z,,,,,,,https://youtu.be/dpqosqaXMhg,,,,,
ウラヌス,Uranus,uranusu,uranus,,0Z,,,,,,,https://youtu.be/L7l8ihShjTA?t=122,https://youtu.be/GwmiYvpsjqM?t=25,https://youtu.be/DNdV4UaJK00?t=44,,,
ウワバミ,Uwabami,uwabami,Uwabami,,0Z,,,,,,,https://youtu.be/XsiGIlSFke0?t=1m9s,,,,,
エドセラス,Edoserasu,edose rasu,Ed Seras,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=78,,,,,
エリュサー,Elusor,eryusa,Elysor,,0Z,,,,,,,https://youtu.be/LrExRFSE330?t=96,,,,,
エンタープライズ,Enterprise,entapuraizu,enterprise,,0Z,,,,,影夜,,https://youtu.be/0IK6mJ7sy20?t=268,,,,,
オービタル,Orbital,obitaru,Orbital,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=48,,,,,
オリオン,Orion,orion,orion,,0Z,,,,,,,https://youtu.be/9HsYoiYeep0?t=93,,,,,
ガイアフライ,Gaia Fly,gaia furai,gaia fly,,0Z,,BUTTERFLY,,,,,https://youtu.be/yiKPmmLqeCs?list=PLNkmRI1NJODQ7h6IC8esPvVPZnD1BPobP&t=178,,,,,
カイル,Kyle,kairu,kyle,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=10,,,,,
ガトーショコラ,Gateau Chocolat,gatoshokora,gateau chocolat,,0Z,,,,,,,https://youtu.be/1vpXqF2ToZc?t=115,,,,,
カトリーナ,Katorina,kato rina,katrina,,0Z,,,,,えのらげい,ENORAGEI,https://youtu.be/J8R_0arLA9A,https://youtu.be/EC1nSjADkx8?si=oodcIeVgd61JmZ9S,https://youtu.be/gmq3H-F9hmk?si=Sam88k1l_RvbXMM2&t=152,,,
カノンデール,Cannondale,kanon de ru,cannondale,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=21,,,,,
カラスアゲハ,Karasu Ageha,karasuageha,crow swallowtail,,0Z,,,,,,,https://youtu.be/RCdZclRLELM?t=90,,,,,
キャノン砲,Cannonball,kyanonhou,cannon gun,,0Z,,,,,,,https://youtu.be/djN7xYFryFU?t=152,,,,,
キリサメ,Kirisame,kirisame,Kirisame,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=98,,,,,
キリミスピア,Kirimi Spear,kiri misu pia,Kirimi Spear,,0Z,,,,,,,https://youtu.be/A896gOtkfqY?t=41,,,,,
ギルガメッシュ,Gilgamesh,giruga messhu,gilgamesh,Fate,0Z,,,,,,,https://youtu.be/1vpXqF2ToZc?t=316,https://youtu.be/gqZC6AIzIj8?t=51,https://youtu.be/9HsYoiYeep0?t=116,,,
クエラキャット,Cuella Cat,kue ra kyatto,quela cat,,0Z,,,,,,,https://youtu.be/LrExRFSE330?t=39,,,,,
クサナギ,Kusanagi,kusa nagi,Kusanagi,,0Z,,AMATERASU,,,,,https://youtu.be/njz1-BR46j8?t=1m7s,https://youtu.be/GwmiYvpsjqM?t=12,,,,
クサノオ,Kusano,kusanoo,Kusanoo,,0Z,,SUSANOO,,,,,https://youtu.be/rLZW_jPb_ZI?t=377,,,,,
クライシス,Crisis,kuraishisu,crisis,,0Z,,,,,,,https://youtu.be/9Ul6dXIm7Jw?t=138,,,,,
グリスタ,Grista,gurisu ta,Gulista,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=15m17s,,,,,
ゲイ・ボルク,Gae Bolg,gei boruku,Gay Bork,Fate,0Z,,,,,,,https://twitter.com/helen_891231/status/1250448610749112320,https://youtu.be/oRzdbBDALMc?t=96,,,,
ゲイ・ボルク改,Gae Bolg Kai,gei boruku kai,Gay Bork Kai,Fate,0Z,,GAE BOLG,,,,,https://youtu.be/djN7xYFryFU?t=59s,https://youtu.be/o6ZqdRlOjUw?t=55,https://youtu.be/MsKegjNXxXg?t=17,,,
こへおり,Koeori,ko e ori,Koheori,,0Z,,,,,航平,KOUHEI,https://youtu.be/wHnqnSf4orA?t=111,,,,,
コンゴジャングル,Congo Jungle,kongo janguru,congo jungle,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=11m17s,,,,,
サイファンクル,Psyfunkle,sai fanku ru,Cyfunkle,,0Z,,,,,,,https://youtu.be/LrExRFSE330?t=77,,,,,
サザンクロス,Southern Cross,sazankurosu,southern cross,,0Z,,,,,,,https://youtu.be/LrExRFSE330?t=158,,,,,
サスケのかたな,Sasuke no katana,sasu ke no katana,Sasuke's side,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=3m8s,,,,,
サマーソルト,Somersault,samasoruto,summer salt,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=20m35s,https://youtu.be/LrExRFSE330?t=106,,,,
サムライ,Samurai (Katakana),samurai,samurai,,0Z,,SAMURAI,,,,,https://youtu.be/0cONLTUw7h8,https://youtu.be/zm2mpwCKzHc?t=505,,,,
サンタムエルテ,Santa Muerte,santa mu eru te,Santa Muerte,,0Z,,,,,,,https://youtu.be/LrExRFSE330?t=48,,,,,
ジ・イクリプス,The Eclipse,ji i kuri pusu,The Eclipse,,0Z,,,,,,,https://youtu.be/RCdZclRLELM?t=421,,,,,
シャーロット・エスク,Charlotte Esk,sha rotto esu ku,Charlotte Esq.,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=253,,,,,
シャオリー改,Shaori Kai,shaori kai,Xiaoli Kai,,0Z,,SHAORI,,,,,https://youtu.be/rLZW_jPb_ZI?t=710,,,,,
シャオリー極,Shaori Goku,shaori goku,Xiaoli Kiwami,,0Z,,SHAORI,,,,,https://youtu.be/rLZW_jPb_ZI?t=505,,,,,
ジャックナイフ,Jack Knife,jakkunaifu,jackknife,,0Z,,,,,,,https://youtu.be/nVoN6zgV4fY,,,,,
シューティングスタースネイク,Shooting Star Snake,shutingusuta suneiku,shooting star snake,,0Z,,SNAKE,,,,,https://youtu.be/Z6q1SyOqIbM?t=1m47s,,,,,
シリウス,Sirius,shiriusu,sirius,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=14m53s,https://youtu.be/Rj8O1f2Mcd8?t=65,https://youtu.be/gmq3H-F9hmk?si=5UvKlrdzUdm5wWn6&t=120,,,
シロトピア,Shirotopia,shi roto pia,Shirotopia,,0Z,,SNAKE,,,,,https://youtu.be/uxKfpuQw5MI?t=71,,,,,
スーザンボイル,Susan Boyle,suzan boiru,susan boyle,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=86,,,,,
スーパープルーム,Super Plume,supa purumu,super plume,,0Z,,RUUNA,,,,,https://youtu.be/rLZW_jPb_ZI?t=20m23s,https://youtu.be/o_dvv51Pogk?t=18,https://youtu.be/Nkp2x4aqCtA?t=73,https://youtu.be/gmq3H-F9hmk?si=nYr2sBqNyASy_cj3&t=223,,
スカトロロジスト,Scatologist,sukatoro roji suto,scatologist,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=1176,,,,,
スサテラス,Susaterasu,susa terasu,Susa Terrace,,0Z,,SUSANOO,,,,,https://youtu.be/rLZW_jPb_ZI?t=277,,,,,
スサノオ改,Susanoo Kai,susanoo kai,Susanoo Kai,,0Z,,SUSANOO,,,,,https://youtu.be/rLZW_jPb_ZI?t=6m6s,,,,,
スタースネイク,Star Snake,suta suneiku,star snake,,0Z,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=16,,,,,
ステルス・ヒッキー,Stealth Hickey,suterusu hikki,stealth hickey,,0Z,,HICKEY,,,,,https://youtu.be/3Sez0M0zqvs?t=181,,,,,
ステルス・ヒッキー改,Stealth Hickey Kai,suterusu hikki kai,Stealth Hickey Mod,,0Z,,HICKEY,,,,,https://youtu.be/1vpXqF2ToZc?t=199,,,,,
スパイラルクロス,Spiral Cross,supairaru kurosu,spiral cross,,0Z,,CROSS,,,,,https://youtu.be/rLZW_jPb_ZI?t=1430,,,,,
スピナー,Spinner,supina,spinner,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=274,,,,,
スフィンクス,Sphinx,sufinkusu,sphinx,,0Z,,,,,,,https://youtu.be/zm2mpwCKzHc?t=429,,,,,
スラパンダスター,Surapan Duster,su rapan dasuta,Slapanduster,,0Z,,,,,,,https://youtu.be/n27FW188GUQ?t=23,https://youtu.be/9ADfoPdzplw?si=C1EitazQTsVFYoq-,https://youtu.be/d77f1zcWmdE?si=dfQ5jnpDdYo2F-05,,,
セクシーちょんぼ,Sexy Chonbo,sekushi chonbo,sexy chombo,,0Z,,SEXY CHONBO,,,ペリカン,PERIKAN,https://youtu.be/gj6I50jU6V0?t=174,https://youtu.be/n27FW188GUQ?t=175,,,,
セクシーちょんぼ改,Sexy Chonbo Kai,sekushi chonbo kai,Sexy Chonbo Kai,,0Z,,SEXY CHONBO,,,ペリカン,PERIKAN,https://youtu.be/QKSP7cRSGmM?t=107,,,,,
セクシーちょんぼ改（仮）,Sexy Chonbo Kai (Choreo),sekushi chonbo kai( kari),Sexy Chonbo Kai (tentative),,0Z,,SEXY CHONBO,,,,,https://youtu.be/gdiW4rasVLk?t=153,,,,,
セクロス,Sekurosu,sekurosu,sex,,0Z,,CROSS,,,,,https://youtu.be/rLZW_jPb_ZI?t=848,,,,,
ゼンリツセン,Zenritsusen,zenritsusen,Zenritsen,,0Z,,,,,,,https://youtu.be/XOWfj2jUHUQ?t=19,,,,,
タイタニック,Titanic,taitanikku,titanic,,0Z,,AMATERASU,,,,,https://youtu.be/r765viHQcdA?t=4m43s ,,,,,
ダブルサーキュラー,Double circular,daburu sakyura,double circular,,0Z,,,,,,,https://youtu.be/NOOeQ4dqTAc?t=17,,,,,
ちょんぼ改,Chonbo Kai,chonbo kai,Chonbo Kai,,0Z,,SEXY CHONBO,,,,,https://youtu.be/gj6I50jU6V0?t=151,,,,,
ちんげ,Chinge,chinge,Chingge,,0Z,,CHINGE,,,,,https://youtu.be/rLZW_jPb_ZI?t=233,,,,,
ちんげ改,Chinge Kai,chinge kai,Chinge Kai,,0Z,,CHINGE,,,,,https://youtu.be/gj6I50jU6V0?t=141,,,,,
ツラナギ,Tsuranagi,tsura nagi,Tsuranagi,,0Z,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=1205,,,,,
ツラナミ,Tsuranami,tsura nami,Tsuranami,,0Z,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=1205,,,,,
ディアドライズ,Diadrise,dia dorai zu,Deerdrise,,0Z,,,,,,,https://youtu.be/gqZC6AIzIj8?t=240,,,,,
てぃかマサ,Tika Masa,ti ka masa,Tika Masa,,0Z,,MURAMASA,,,,,https://youtu.be/rLZW_jPb_ZI?t=155,,,,,
デスビーム,Death Beam,desu bimu,death beam,,0Z,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=24m16s,,,,,
テッセンカ,Tessenka,tessenka,Tessenka,,0Z,,,,,,,https://youtu.be/o6ZqdRlOjUw?t=15,,,,,
